"added_route_id","trip_id"
"72","32833274"
"75","32833274"
"72","32854012"
"75","32854012"
"72","32854010"
"75","32854010"
"72","32833272"
"75","32833272"
"72","32854008"
"75","32854008"
"72","32833270"
"75","32833270"
"72","32854006"
"75","32854006"
"72","32854004"
"75","32854004"
"72","32854020"
"75","32854020"
"72","32854005"
"75","32854005"
"72","32833267"
"75","32833267"
"72","32833275"
"75","32833275"
"72","32854003"
"75","32854003"
"72","32854013"
"75","32854013"
"72","32833269"
"75","32833269"
"72","32854015"
"75","32854015"
"72","32854007"
"75","32854007"
"72","32833261"
"75","32833261"
"72","32833265"
"75","32833265"
"72","32854009"
"75","32854009"
"72","32833273"
"75","32833273"
"72","32854011"
"75","32854011"
"72","32833263"
"75","32833263"
"72","32833277"
"75","32833277"
"72","32833271"
"75","32833271"
"72","32833295"
"75","32833295"
"72","32833251"
"75","32833251"
"72","32833289"
"75","32833289"
"72","32833255"
"75","32833255"
"72","32833293"
"75","32833293"
"72","32833279"
"75","32833279"
"72","32833257"
"75","32833257"
"72","32833291"
"75","32833291"
"72","32833285"
"75","32833285"
"72","32833287"
"75","32833287"
"72","32854017"
"75","32854017"
"72","32833283"
"75","32833283"
"72","32833253"
"75","32833253"
"72","32854021"
"75","32854021"
"72","32854019"
"75","32854019"
"72","32833281"
"75","32833281"
"72","32833259"
"75","32833259"
"72","32833297"
"75","32833297"
"116","33880926"
"117","33880926"
"116","33880924"
"117","33880924"
"116","33880918"
"117","33880918"
"116","33880919"
"117","33880919"
"116","33880920"
"117","33880920"
"116","33880921"
"117","33880921"
"116","33880928"
"117","33880928"
"116","33880923"
"117","33880923"
"116","33880925"
"117","33880925"
"116","33880927"
"117","33880927"
"116","33880929"
"117","33880929"
"116","33880922"
"117","33880922"
"116","33882465"
"117","33882465"
"116","33882466"
"117","33882466"
"116","33882467"
"117","33882467"
"116","33882469"
"117","33882469"
"116","33882470"
"117","33882470"
"116","33882464"
"117","33882464"
"116","33882463"
"117","33882463"
"116","33882461"
"117","33882461"
"116","33882459"
"117","33882459"
"116","33882460"
"117","33882460"
"116","33882468"
"117","33882468"
"116","33882462"
"117","33882462"
"116","33880958"
"117","33880958"
"116","33880949"
"117","33880949"
"116","33880960"
"117","33880960"
"116","33880947"
"117","33880947"
"116","33880944"
"117","33880944"
"116","33880962"
"117","33880962"
"116","33880951"
"117","33880951"
"116","33880955"
"117","33880955"
"116","33880954"
"117","33880954"
"116","33882485"
"117","33882485"
"116","33882488"
"117","33882488"
"116","33882490"
"117","33882490"
"116","33882492"
"117","33882492"
"116","33882495"
"117","33882495"
"116","33882496"
"117","33882496"
"116","33882501"
"117","33882501"
"116","33882503"
"117","33882503"
"116","33882499"
"117","33882499"
"89","33405207"
"93","33405207"
"89","33400779"
"93","33400779"
"89","33407230"
"93","33407230"
"89","33408454"
"93","33408454"
"89","33403061"
"93","33403061"
"89","33407231"
"93","33407231"
"89","33408455"
"93","33408455"
"214","33801299"
"216","33801299"
"214","33783698"
"216","33783698"
"214","33783696"
"216","33783696"
"214","33783697"
"216","33783697"
"214","33783700"
"216","33783700"
"214","33783704"
"216","33783704"
"214","33783703"
"216","33783703"
"214","33783701"
"216","33783701"
"214","33783699"
"216","33783699"
"214","33783656"
"216","33783656"
"214","33783702"
"216","33783702"
"214","33783657"
"216","33783657"
"214","33783658"
"216","33783658"
"214","33783659"
"216","33783659"
"214","33801695"
"216","33801695"
"214","33802226"
"216","33802226"
"214","33801703"
"216","33801703"
"214","33802224"
"216","33802224"
"214","33801436"
"216","33801436"
"214","33857901"
"216","33857901"
"214","33801710"
"216","33801710"
"214","33802228"
"216","33802228"
"214","33801705"
"216","33801705"
"214","33802230"
"216","33802230"
"214","33802232"
"216","33802232"
"214","33801345"
"216","33801345"
"214","33802234"
"216","33802234"
"214","33801699"
"216","33801699"
"214","33801458"
"216","33801458"
"214","33802152"
"216","33802152"
"214","33801464"
"216","33801464"
"214","33802060"
"216","33802060"
"214","33857671"
"216","33857671"
"214","33857670"
"216","33857670"
"214","33802162"
"216","33802162"
"214","33802278"
"216","33802278"
"214","33801691"
"216","33801691"
"214","33801318"
"216","33801318"
"214","33802167"
"216","33802167"
"214","33801315"
"216","33801315"
"214","33857672"
"216","33857672"
"214","33857802"
"216","33857802"
"214","33857712"
"216","33857712"
"214","33857710"
"216","33857710"
"214","33857705"
"216","33857705"
"214","33802211"
"216","33802211"
"214","33857720"
"216","33857720"
"214","33857846"
"216","33857846"
"214","33857730"
"216","33857730"
"214","33857735"
"216","33857735"
"214","33802102"
"216","33802102"
"214","33857779"
"216","33857779"
"214","33857625"
"216","33857625"
"214","33802219"
"216","33802219"
"214","33857783"
"216","33857783"
"214","33802057"
"216","33802057"
"214","33857787"
"216","33857787"
"214","33857800"
"216","33857800"
"214","33857798"
"216","33857798"
"214","33857796"
"216","33857796"
"214","33857794"
"216","33857794"
"214","33802213"
"216","33802213"
"214","33857700"
"216","33857700"
"214","33802215"
"216","33802215"
"214","33801359"
"216","33801359"
"214","33801357"
"216","33801357"
"214","33801354"
"216","33801354"
"214","33801347"
"216","33801347"
"214","33857781"
"216","33857781"
"214","33801626"
"216","33801626"
"214","33801585"
"216","33801585"
"214","33800572"
"216","33800572"
"214","33800574"
"216","33800574"
"214","33801591"
"216","33801591"
"214","33802137"
